,title,price,metros2,location,Rooms,region
237,T3 Vistas Mar em Canidelo,3500,165,"Canidelo, Vila Nova de Gaia",3, Porto
238,"Apartamento T3, renovado, para arrendamento na Av. da Liberdade, Braga",1500,119,Braga (São José de São Lázaro e São João do Souto),3, Braga
239,T1 Boavista junto ao metro casa da musica,980,55,"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",1, Porto
240,Arrendamento | Apartamento T2+1 | Mobilado| Garagem e arrecadação | La,2300,90,Estrela,2, Lisboa
241,Apartamento T3 com garagem em zona da Avenida Elisio de Moura,875,98,Santo António dos Olivais,3, Coimbra
242,Apartamento T2 para arrendamento,1600,118,Belém,2, Lisboa
243,Apartamento T3 para arrendamento,2850,114.9,Belém,3, Lisboa
244,"Apartamento luminoso e confortável, 2 suites e terraço com vista rio",2500,146,"Santa Marinha e São Pedro da Afurada, Vila Nova de Gaia",2, Porto
245,Apartamento T4 para arrendamento,1700,186,São Victor,4, Braga
246,Apartamento T2 para arrendamento,1500,87.21,Odivelas,2, Lisboa
247,Apartamento Duplex T3 na Foz,2600,157,"Aldoar, Foz do Douro e Nevogilde",3, Porto
248,Charmoso Apartamento T2 com 102m2 no Centro Histórico de Cascais com P,1850,102,"Cascais e Estoril, Cascais",2, Lisboa
249,Apartamento para arrendamento T3+1 na Firmeza no Porto,2200,140,Bonfim,3, Porto
250,Apartamento T3 para arrendamento,730,114,"Aldão, Guimarães",3, Braga
251,"T2 no Parque Europa, Lumiar com estacionamento e arrecadação",1600,96,Lumiar,2, Lisboa
252,Apartamento T4 para arrendamento,1900,96.14,Olivais,4, Lisboa
253,T3 Duplex para arrendar com vista para o rio Tejo,2800,208,Alcochete,3, Setúbal
254,Terraço 70m2 - Mobilado - Equipado,2400,65,São Vicente,70, Lisboa
255,T3 para arrendamento | Miraflores,1850,151,"Algés, Linda-a-Velha e Cruz Quebrada-Dafundo, Oeiras",3, Lisboa
256,"T1 Vista Mar Frontal, mesmo por cima dos Jardins da Parede, Condomínio",1700,52,"Carcavelos e Parede, Cascais",1, Lisboa
257,Apartamento T9 para arrendamento – Rua Castilho,3700,225,Santo António,9, Lisboa
258,"T2 luxo em Scala Condominium, centro de Cascais",4000,137,"Cascais e Estoril, Cascais",2, Lisboa
259,"T3 no condomínio privado Blue Gardens, Sacavém",1800,180,"Sacavém e Prior Velho, Loures",3, Lisboa
260,"T3 COM GARAGEM E VARANDAS, AV DA REPÚBLICA, VILA NOVA DE GAIA",1300,117,"Mafamude e Vilar do Paraíso, Vila Nova de Gaia",3, Porto
261,Apartamento T3+1 novo para arrendar com áreas generosas e inserido no,2250,176.14,"Mafamude e Vilar do Paraíso, Vila Nova de Gaia",3, Porto
262,Chalé T0 em Jardim do Mar/ Calheta,650,28,"Jardim do Mar, Calheta (Madeira)",0, Ilha da Madeira
263,Arrendamento - Apartamento T4 - Centro de Guimarães,800,111,"Creixomil, Guimarães",4, Braga
264,Apartamento T3 para arrendamento,2600,116,Santa Maria Maior,3, Lisboa
265,T3 Renovado ao Marquês com pátio e churrasqueira. SEM FIADOR,1500,115,"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",3, Porto
266,No centro com GARAGEM e Elevador; Mobilado e Sem Fiador,1550,80,"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",, Porto
267,Apartamento T2 com parqueamento - Caldas da Rainha,700,70,"Caldas da Rainha - Santo Onofre e Serra do Bouro, Caldas da Rainha",2, Leiria
268,"APARTAMENTO T3 NA RUA DA FIRMEZA, PORTO, PORTUGAL",2900,129,"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",3, Porto
269,Apartamento T1 Arrendamento Lisboa,1500,55,Parque das Nações,1, Lisboa
270,T2 Mobilado e Equipado - Ao IC29 Gondomar Este,1250,83.3,"Gondomar (São Cosme), Valbom e Jovim, Gondomar",2, Porto
271,"T2+1 , condomínio FLUVIAL LUX GARDENS. Junto ao rio. Fluvial, Largo do",2300,105.11,Lordelo do Ouro e Massarelos,2, Porto
272,Apartamento T3 para arrendamento,1100,126.2,Ramalde,3, Porto
273,T1 para arrendamento no Chiado com terraço,3500,95,Santa Maria Maior,1, Lisboa
274,Apartamento de 4 assoalhadas  mobilado na Sobreda,950,91,"Charneca de Caparica e Sobreda, Almada",4, Setúbal
275,Apartamento T1 para arrendamento,1000,60,Carnide,1, Lisboa
276,Vista e Terraço (50 m2) em Apartamento T2 novo a estrear na Graça,3000,90,São Vicente,50, Lisboa
277,Apartamento T2 Santa Maria de Lamas,700,80,"Santa Maria de Lamas, Santa Maria da Feira",2, Aveiro
278,Apartamento T2 para arrendamento,1450,125.5,São Domingos de Benfica,2, Lisboa
279,Apartamento T2 para arrendamento,1300,62,Penha de França,2, Lisboa
280,MARINA de VILAMOURA | T1+1 | de JANEIRO a JUNHO,700,68,"Quarteira, Loulé",1, Faro
281,Apartamento T3+1 Duplex Arrendamento Lisboa,4900,550,Parque das Nações,3, Lisboa
282,Apartamento T2 para arrendamento,1250,72.85,"São Martinho, Funchal",2, Ilha da Madeira
283,Arrendamento T1+1 - Arrábida Shopping,800,63.9,"Santa Marinha e São Pedro da Afurada, Vila Nova de Gaia",1, Porto
284,T1 Apartamento no Bairro Alto,1700,40,Misericórdia,1, Lisboa
285,T3 na 1ª linha de mar em Matosinhos Sul,2500,150,"Matosinhos e Leça da Palmeira, Matosinhos",3, Porto
286,T1 C Vistas sobre Douro com Lugar Garagem e Arrumo- Porto,1050,50,Campanhã,1, Porto
287,ARRENDAMENTO | Apartamento T2 mobilado e equipado | Novo a estrear,750,93,Santa Cruz,2, Ilha da Madeira
288,"Apartamento T1 Arrendamento em Covilhã e Canhoso,Covilhã",375,35,"Covilhã e Canhoso, Covilhã",1, Castelo Branco
289,Apartamento T1 como Novo – Glicínias,700,65,Glória e Vera Cruz,1, Aveiro
290,Apartamento T3 para arrendamento,2300,141.5,"Canidelo, Vila Nova de Gaia",3, Porto
291,Apartamento T3 para arrendamento,2100,141,São Domingos de Benfica,3, Lisboa
292,Apartamento T2 para arrendamento,1150,85,Faro (Sé e São Pedro),2, Faro
293,T3 Quinta do Conde para Arrendamento,900,108,"Quinta do Conde, Sesimbra",3, Setúbal
294,Apartamento T3 Living Porto J Camilo para arrendamento,2650,163,Ramalde,3, Porto
295,Fabuloso T3 Duplex nas Casas do Lago - Serra de Carnaxide,2000,101,"Venteira, Amadora",3, Lisboa
296,Magnifico apartamento T2 em condomínio privado na Quinta da Beloura.,2500,121,"Sintra (Santa Maria e São Miguel, São Martinho e São Pedro de Penaferrim), Sintra",2, Lisboa
297,Apartamento T1 com box e varanda no Parque das Nações,1100,63,Parque das Nações,1, Lisboa
298,Apartamento T3+1 junto ao centro de Famalicão,650,130,"Vila Nova de Famalicão e Calendário, Vila Nova de Famalicão",3, Braga
299,Excelente Apartamento T3 em Carcavelos,2800,146.68,"Carcavelos e Parede, Cascais",3, Lisboa
300,"Apartamento T3+1 Arrendamento em Ramalde,Porto",1800,165,Ramalde,3, Porto
301,Apartamento T3,1000,109.83,Glória e Vera Cruz,3, Aveiro
