,title,price,metros2,location,rooms,region
1599,"T3 mobilado em Braga, Avenida Joao XXI",1050.0,130.0,Braga (Sao Jose de Sao Lazaro e Sao Joao do Souto),3, Braga
1600,Apartamento T2 tipo aparthotel totalmente equipado com garagem,900.0,90.0,"Pinhal Novo, Palmela",2, Setubal
1601,Apartamento T3 com sotao e lugar de garagem na Quinta das Lagrimas,1100.0,121.0,Santa Clara e Castelo Viegas,3, Coimbra
1602,T2 Luminoso junto Parque Urbano Rinchoa,900.0,66.0,"Rio de Mouro, Sintra",2, Lisboa
1605,Arrendo excelente T2 na Rua Miguel Torga,890.0,78.0,"Coimbra (Se Nova, Santa Cruz, Almedina e Sao Bartolomeu)",2, Coimbra
1606,Aluga-se T2 Castelo da Maia,850.0,97.0,"Castelo da Maia, Maia",2, Porto
1607,Arrenda-se T1 em frente a Universidade do Minho - Guimaraes,650.0,83.0,"Azurem, Guimaraes",1, Braga
1608,Apartamento T2 para arrendamento,1100.0,67.0,Benfica,2, Lisboa
1610,Apartamento luxo T2+1 de 120m com grande terraco,1480.0,120.0,"Santa Marinha e Sao Pedro da Afurada, Vila Nova de Gaia",3, Porto
1611,"Apartamento T2 em Lisboa de 70,00 m2",1750.0,70.0,Campo de Ourique,2, Lisboa
1612,"T3 disponivel a 1 agosto piso 3 sem elevador, zona recente Pinhal Novo",1000.0,140.0,"Pinhal Novo, Palmela",3, Setubal
1613,Contem moveis T4+1 para arrendamento Arroios,1800.0,100.0,Arroios,4, Lisboa
1614,Apartamento T2 para arrendamento,650.0,73.14,Sao Martinho do Bispo e Ribeira de Frades,2, Coimbra
1616,Apartamento T2 Paivas.,875.0,75.0,"Amora, Seixal",2, Setubal
1617,Alugo Apartamento T2 em condominio e com estacionamento,580.0,70.18,"Terra Cha, Angra do Heroismo",2, Ilha Terceira
1618,Apartamento T3 - Arrendamento - Mira de Aire,600.0,104.0,"Mira de Aire, Porto de Mos",3, Leiria
1619,3921-T2+2 duplex remodelado smimobilado/equipado-V.N.Gaia,270000.0,190.0,"Oliveira do Douro, Vila Nova de Gaia",4, Porto
